Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Temp_Difference,Power,Tool_Wear_Percent
2,302.0,310.9,1456,47.2,54,8.899999999999977,68723.2,21.6
2,297.0,308.3,1399,46.4,132,11.300000000000011,64913.6,52.800000000000004
2,301.0,311.6,1357,45.6,137,10.600000000000023,61879.200000000004,54.800000000000004
1,298.9,309.8,1411,56.3,84,10.900000000000034,79439.3,33.6
1,297.1,308.5,1733,28.7,50,11.399999999999977,49737.1,20.0
0,298.3,308.9,1706,31.8,8,10.599999999999966,54250.8,3.2
2,300.7,311.0,1263,52.3,104,10.300000000000011,66054.9,41.6
0,297.6,309.0,1413,40.2,51,11.399999999999977,56802.600000000006,20.4
2,303.9,313.2,1608,40.6,79,9.300000000000011,65284.8,31.6
0,297.3,308.6,1431,42.0,109,11.300000000000011,60102.0,43.6
1,298.9,310.1,1466,42.5,187,11.200000000000045,62305.0,74.8
1,297.9,308.6,1691,29.6,116,10.700000000000045,50053.600000000006,46.400000000000006
1,299.2,310.7,1540,36.3,175,11.5,55901.99999999999,70.0
1,298.4,308.4,1515,40.1,179,10.0,60751.5,71.6
2,300.4,309.8,1421,47.2,0,9.400000000000034,67071.2,0.0
1,298.7,309.9,1617,33.0,203,11.199999999999989,53361.0,81.2
1,297.7,308.7,1249,60.4,143,11.0,75439.59999999999,57.199999999999996
1,298.9,310.0,1564,33.8,183,11.100000000000023,52863.2,73.2
1,298.1,308.7,1568,32.9,10,10.599999999999966,51587.2,4.0
1,304.1,313.2,1434,50.1,43,9.099999999999966,71843.40000000001,17.2
1,302.5,311.1,1571,34.2,201,8.600000000000023,53728.200000000004,80.4
0,299.2,308.8,1908,21.3,104,9.600000000000023,40640.4,41.6
1,299.6,310.2,1468,48.0,9,10.599999999999966,70464.0,3.5999999999999996
0,301.0,312.2,1489,40.3,117,11.199999999999989,60006.7,46.800000000000004
1,299.1,310.5,1389,61.4,64,11.399999999999977,85284.59999999999,25.6
1,302.4,310.2,1351,45.1,168,7.800000000000011,60930.1,67.2
1,299.1,310.5,1532,36.6,62,11.399999999999977,56071.200000000004,24.8
1,300.6,309.6,1726,30.0,147,9.0,51780.0,58.8
1,301.7,311.2,1589,37.9,75,9.5,60223.1,30.0
1,296.8,307.5,1347,54.8,43,10.699999999999989,73815.59999999999,17.2
1,300.7,311.8,1486,47.3,19,11.100000000000023,70287.8,7.6
1,299.6,311.0,1430,38.3,124,11.399999999999977,54768.99999999999,49.6
1,297.1,308.3,1403,54.1,179,11.199999999999989,75902.3,71.6
1,300.7,310.6,1520,45.9,146,9.900000000000034,69768.0,58.4
2,298.9,308.2,1372,63.6,30,9.300000000000011,87259.2,12.0
1,298.7,309.8,1354,53.3,212,11.100000000000023,72168.2,84.8
1,299.7,309.1,1347,55.3,139,9.400000000000034,74489.09999999999,55.60000000000001
